,0
0,x<10min
1,x<10min
2,x<10min
3,x<10min
4,x<10min
5,x<10min
6,x<10min
7,x<10min
8,x<10min
9,x<10min
10,x<10min
11,x<10min
12,x<10min
13,x<10min
14,x<10min
15,x<10min
16,x<10min
17,x<10min
18,x<10min
19,x<10min
20,x<10min
21,x<10min
22,x<10min
23,x<10min
24,x<10min
25,x<10min
26,x<10min
27,x<10min
28,x<10min
29,x<10min
30,x<10min
31,x<10min
32,x<10min
33,x<10min
34,x<10min
35,x<10min
36,x<10min
37,x<10min
38,x<10min
39,x<10min
40,x<10min
41,x<10min
42,x<10min
43,x<10min
44,x<10min
45,x<10min
46,x<10min
47,x<10min
48,x<10min
49,x<10min
50,x<10min
51,x<10min
52,x<10min
53,x<10min
54,x<10min
55,x<10min
56,x<10min
57,x<10min
58,x<10min
59,x<10min
60,x<10min
61,x<10min
62,x<10min
63,x<10min
64,x<10min
65,x<10min
66,x<10min
67,x<10min
68,x<10min
69,x<10min
70,x<10min
71,x<10min
72,x<10min
73,x<10min
74,x<10min
75,x<10min
76,x<10min
77,x<10min
78,x<10min
79,x<10min
80,x<10min
81,x<10min
82,x<10min
83,x<10min
84,x<10min
85,x<10min
86,x<10min
87,x<10min
88,x<10min
89,x<10min
90,x<10min
91,x<10min
92,x<10min
93,x<10min
94,x<10min
95,x<10min
96,x<10min
97,x<10min
98,x<10min
99,x<10min
100,x<10min
101,x<10min
102,x<10min
103,x<10min
104,x<10min
105,x<10min
106,x<10min
107,x<10min
108,x<10min
109,x<10min
110,x<10min
111,x<10min
112,x<10min
113,x<10min
114,x<10min
115,x<10min
116,x<10min
117,x<10min
118,x<10min
119,x<10min
120,x<10min
121,x<10min
122,x<10min
123,x<10min
124,x<10min
125,x<10min
126,x<10min
127,x<10min
128,x<10min
129,x<10min
130,x<10min
131,x<10min
132,x<10min
133,x<10min
134,x<10min
135,x<10min
136,x<10min
137,x<10min
138,x<10min
139,x<10min
140,x<10min
141,x<10min
142,x<10min
143,x<10min
144,x<10min
145,x<10min
146,x<10min
147,x<10min
148,x<10min
149,x<10min
150,x<10min
151,x<10min
152,x<10min
153,x<10min
154,x<10min
155,x<10min
156,x<10min
157,x<10min
158,x<10min
159,x<10min
160,x<10min
161,x<10min
162,x<10min
163,x<10min
164,x<10min
165,x<10min
166,x<10min
167,x<10min
168,x<10min
169,x<10min
